DAY,TOKENID,PRICE,PRICE_USD
2023-11-16 09:00:00.000,7406,0.00049,1.007018737
2023-11-16 08:00:00.000,12246,0.002,4.114390258
2023-11-16 10:00:00.000,15997,0.0005,1.022407341
2023-11-16 08:00:00.000,2094,0.004,8.228780516
2023-11-16 08:00:00.000,2685,0.0035,7.200182951
2023-11-16 08:00:00.000,3466,0.0015,3.085792693
2023-11-16 08:00:00.000,4764,0.004,8.228780516
2023-11-16 11:00:00.000,6135,0.0005,1.021515047
2023-11-16 09:00:00.000,6352,0.0005,1.02757014
2023-11-16 08:00:00.000,7276,0.01,20.571951289
2023-11-16 08:00:00.000,9718,0.00089,1.830903665
2024-03-22 21:00:00.000,2407,0.0015,4.995989481
2024-06-23 02:00:00.000,9711,0.000488,1.71099144
2024-06-23 02:00:00.000,19245,0.0005449,1.910490237
2024-06-23 03:00:00.000,4863,0.0005449,1.911269444
2024-06-23 00:00:00.000,8015,0.000691,2.42026205
2024-02-29 22:00:00.000,24016,0.0013,4.400301916
2024-05-10 10:00:00.000,8201,0.00074,2.245243004
2024-02-23 09:00:00.000,12384,0.315,928.70648549
2024-02-28 09:00:00.000,5375,0.1,325.737387173
2024-03-08 05:00:00.000,6723,0.00124,4.851235687
2023-08-13 17:00:00.000,2981,0.00092,1.698540349
2024-01-31 09:00:00.000,19526,0.0597,139.596091696
2024-04-17 13:00:00.000,20529,0.04,122.141076657
2024-02-15 07:00:00.000,14442,0.0016,4.458159971
2024-02-16 19:00:00.000,1680,0.001749,4.841540166
2023-08-15 16:00:00.000,1483,0.0019,3.500724434
2023-12-23 00:00:00.000,16393,0.00144,3.329975768
2023-12-25 15:00:00.000,9670,0.0015,3.424972005
2023-12-25 14:00:00.000,15855,0.0011,2.502822341
2023-12-28 20:00:00.000,1481,0.0015,3.530739708
2023-12-28 20:00:00.000,9729,0.0013,3.059974414
2023-12-29 23:00:00.000,2740,0.00143,3.272463861
2023-12-29 21:00:00.000,7575,0.0013,3.005347367
2023-12-30 16:00:00.000,9797,0.0035,8.035073975
2023-12-30 16:00:00.000,9760,0.00188,4.315982592
2023-12-30 16:00:00.000,8962,0.0019,4.361897301
2023-12-30 16:00:00.000,1276,0.0015,3.443603132
2023-09-01 11:00:00.000,3114,0.0007,1.15016825
2023-09-02 14:00:00.000,1381,0.0008,1.306469519
2024-04-02 00:00:00.000,5935,0.006,21.040267685
2023-08-09 22:00:00.000,2895,0.0045,8.331863967
2023-08-09 21:00:00.000,2704,0.011,20.366681266
2023-08-09 16:00:00.000,6435,0.0073,13.571599433
2023-08-09 22:00:00.000,3700,0.004,7.406101304
2023-08-10 09:00:00.000,7011,0.00188,3.47933536
2023-08-10 18:00:00.000,1724,0.0019,3.517335074
2023-08-10 06:00:00.000,1595,0.005,9.254907335
2023-08-10 16:00:00.000,10300,0.0038,7.043311874
2023-08-10 03:00:00.000,291,0.0025,4.632135582
2023-08-11 03:00:00.000,3691,0.002,3.699775529
2024-06-22 06:00:00.000,10954,0.0002,0.700594
2023-12-30 16:00:00.000,10478,0.001,2.295735421
2024-04-10 16:00:00.000,6579,0.000777777,2.701748303
2023-08-09 22:00:00.000,3059,0.011,20.366778585
2023-08-09 19:00:00.000,3204,0.0035,6.466831357
2023-08-09 22:00:00.000,3505,0.011,20.366778585
2023-08-09 20:00:00.000,4695,0.0025,4.631339127
2023-08-18 18:00:00.000,10873,0.0009,1.497493094
2023-08-18 14:00:00.000,10890,0.0009,1.512064187
2023-10-14 03:00:00.000,3342,0.0005,0.7763395037
2023-10-14 02:00:00.000,9688,0.0015,2.328435782
2024-04-06 03:00:00.000,7694,0.00078,2.590714464
2024-06-27 23:00:00.000,6707,0.00001,0.0344316
2023-09-08 23:00:00.000,3723,0.0006,0.9817381828
2023-09-09 03:00:00.000,15244,0.00082,1.339796256
2023-08-25 23:00:00.000,2836,0.0009,1.486928276
2023-08-26 02:00:00.000,2209,0.0009,1.487056022
2023-08-26 02:00:00.000,794,0.001,1.652284469
2023-08-27 15:00:00.000,5772,0.0009,1.483567038
2023-12-22 22:00:00.000,10331,0.000949,2.198388412
2023-12-22 18:00:00.000,9643,0.001,2.316851841
2024-06-27 23:00:00.000,6625,0.00001,0.0344316
2023-08-14 09:00:00.000,6327,0.00055,1.014647263
2023-09-03 16:00:00.000,1060,0.00082,1.342334437
2023-08-28 18:00:00.000,837,0.000899,1.486178047
2023-08-28 19:00:00.000,227,0.0009,1.484019579
2023-08-28 18:00:00.000,914,0.0016,2.645033232
2023-11-02 10:00:00.000,144,0.001,1.828867983
2023-09-14 21:00:00.000,3559,0.0006,0.9805366307
2023-09-15 17:00:00.000,7285,0.00005,0.08088107996
2023-09-16 11:00:00.000,9624,0.00089,1.453189128
2023-09-16 12:00:00.000,1210,0.0009,1.472246349
2023-12-30 16:00:00.000,6254,0.0038,8.723794601
2023-12-30 16:00:00.000,3277,0.003,6.887206264
2023-12-30 09:00:00.000,14138,0.0015,3.445129803
2023-12-30 16:00:00.000,13564,0.0026,5.968912095
2023-12-30 16:00:00.000,10873,0.002495,5.727859876
2023-12-30 09:00:00.000,9751,0.0019,4.363831084
2023-12-30 16:00:00.000,9758,0.002222,5.101124106
2023-12-31 17:00:00.000,6447,0.003333,7.653449119
2023-12-31 02:00:00.000,6285,0.0038,8.726085403
2023-12-31 02:00:00.000,6242,0.00499,11.458727938
2024-01-03 06:00:00.000,3755,0.008,18.905312298
2024-01-03 06:00:00.000,4395,0.007,16.542148261
2023-08-29 05:00:00.000,412,0.0009,1.485984023
2023-08-21 10:00:00.000,15208,0.0009,1.503870655
﻿
