"Domain","Price","Date","Venue"
"117.tv","2025","2024-10-12","Namecheap"
"specktra.com","753","2024-10-12","Namecheap"
"lewenlook.com","528","2024-10-12","Namecheap"
"insightmanagement.com","504","2024-10-12","Namecheap"
"togetherness.in","500","2024-10-12","DaaZ.com"
"profesionalsoftware.com","155","2024-10-12","Namecheap"
"re-captha-version-3-31.top","146","2024-10-12","Namecheap"
"kamatoz.com","125","2024-10-12","Namecheap"
"revenueserver.com","105","2024-10-12","Namecheap"
"alt-minds.com","105","2024-10-12","Namecheap"
"androidbooth.com","100","2024-10-12","Namecheap"
"amazingusambaratrekking.com","100","2024-10-12","Namecheap"
"heartofrocknrollbway.com","10350","2024-10-11","GoDaddy"
"angelbaby.com","8500","2024-10-11","GoDaddy"
"alttextgenerator.com","7500","2024-10-11","Afternic"
"itwissen.info","6938","2024-10-11","Sav.com"
"hogriverbrewing.com","5300","2024-10-11","GoDaddy"
"tribratanewspolresacehtimur.com","4850","2024-10-11","GoDaddy"
"unicefkidpower.org","4683","2024-10-11","Sav.com"
"cybertools.net","4588","2024-10-11","BuyDomains"
"alerte.com","4300","2024-10-11","DropCatch"
"harnel.com","4288","2024-10-11","BuyDomains"
"tmbu.org","4150","2024-10-11","GoDaddy"
"bendery-ga.org","4100","2024-10-11","GoDaddy"
"siliconhutong.com","4057","2024-10-11","Namecheap"
"hinted.com","3851","2024-10-11","GoDaddy"
"gojoy.com","3823","2024-10-11","GoDaddy"
"philadelphiaofficeofhomelessservices.org","3800","2024-10-11","GoDaddy"
"blackwatercapital.com","3699","2024-10-11","DropCatch"
"adalyanyc.com","3150","2024-10-11","Namecheap"
"mobilehtml5.org","3100","2024-10-11","GoDaddy"
"mirthadermisache.com","3050","2024-10-11","GoDaddy"
"seasafety.com","3002","2024-10-11","Dynadot"
"paris.xyz","2800","2024-10-11","Sav.com"
"thecarsonlawfirm.com","2750","2024-10-11","GoDaddy"
"biomedscis.com","2666","2024-10-11","GoDaddy"
"radioactivafm.com","2638","2024-10-11","GoDaddy"
"fortunecookieeauclaire.com","2600","2024-10-11","GoDaddy"
"freespincasino.com","2575","2024-10-11","GoDaddy"
"shanghaipropagandaart.com","2500","2024-10-11","DropCatch"
