day,tokenid,price,price_usd,__row_index
2022-06-03T04:00:00.000Z,482,0.015,27.465281558,0
2022-06-04T02:00:00.000Z,549,0.05,88.792399652,1
2022-06-04T02:00:00.000Z,550,0.015,26.637719895,2
2022-06-06T14:00:00.000Z,576,0.05,95.458929929,3
2022-06-19T00:00:00.000Z,787,0.02,19.680912308,4
2022-07-13T06:00:00.000Z,902,0.02,21.050455384,5
2022-07-13T06:00:00.000Z,915,0.025,26.31306923,6
2022-07-28T16:00:00.000Z,850,0.005,8.270859353,7
2022-08-04T20:00:00.000Z,932,0.01337,21.434260317,8
2022-08-04T20:00:00.000Z,933,0.0142,22.764883807,9
2022-10-13T10:00:00.000Z,413,11.0,7.534824658,10
2022-10-28T09:00:00.000Z,1069,0.02,29.977378565,11
2022-12-29T07:00:00.000Z,759,0.011,13.147811103,12
2023-02-11T03:00:00.000Z,347,0.0025,3.787687154,13
2023-02-18T19:00:00.000Z,731,0.025,42.321780263,14
2023-02-20T21:00:00.000Z,413,0.027,46.017108943,15
2023-02-20T21:00:00.000Z,1076,0.05,85.216868414,16
