DAY,TOKENID,PRICE,PRICE_USD
2024-07-23 23:00:00.000,5.536237622985838e+76,0.00144,4.9971168
2024-07-24 19:00:00.000,5.1756896267370584e+76,0.00079,2.7020923
2024-07-24 06:00:00.000,2.7612003471027155e+76,0.0009,3.094749
2024-07-24 19:00:00.000,8.168332643742886e+75,0.00079,2.7020923
2024-07-25 19:00:00.000,6.165878055286052e+76,0.0006,1.897734
2024-07-25 01:00:00.000,2.2308276955458834e+76,0.0004,1.333848
2024-07-25 14:00:00.000,2.791407270785156e+75,0.00038,1.1978512
2024-07-25 12:00:00.000,2.475203407430451e+76,0.000321,1.01623785
2024-07-26 03:00:00.000,8.096782930516309e+76,0.00075,2.3871375
2024-07-27 20:00:00.000,1.0661996647051323e+75,0.0005,1.626325
2024-07-27 19:00:00.000,6.232654372782718e+76,0.0005,1.63438
2024-07-27 18:00:00.000,1.0661996647051323e+75,0.0005,1.638585
2024-07-28 21:00:00.000,6.443209323138976e+76,0.00045,1.4733045
2024-07-28 14:00:00.000,4.124372923005696e+76,0.1,326.989
2024-07-29 07:00:00.000,4.466644993567852e+76,0.0004,1.341816
2024-07-29 15:00:00.000,5.1089649594043954e+76,0.0005,1.67316
2024-07-31 20:00:00.000,2.134180183238092e+76,0.00029,0.9606337
2024-08-01 04:00:00.000,4.1797566467455345e+76,0.00045,1.4371695
2024-08-02 20:00:00.000,1.1276724751558412e+77,0.00045,1.357668
2024-08-03 07:00:00.000,8.531688937709299e+76,0.00028,0.8304968
2024-03-27 14:00:00.000,6.060381958163883e+76,0.0007,2.531145233
2024-04-03 01:00:00.000,9.257059783138785e+76,0.0018,5.907771805
2024-04-17 18:00:00.000,1.1165162898240756e+77,0.01,29.610980975
2024-04-24 01:00:00.000,4.079207376757162e+76,0.0018,5.798225532
2024-04-24 04:00:00.000,7.034982423178455e+75,0.029,93.923365903
2024-04-24 01:00:00.000,1.1660846207283855e+76,0.0018,5.798225532
2024-04-25 21:00:00.000,6.166830481659248e+75,0.1,317.3275814
2024-04-27 16:00:00.000,6.617313701526278e+76,10,31481.468012645
2024-04-27 00:00:00.000,2.4412675766045986e+76,0.3675,1151.714037536
2024-04-28 07:00:00.000,1.6999556811054512e+76,0.095,314.60815747
2024-04-28 01:00:00.000,1.1416291180210618e+77,0.069,224.604619321
2024-05-07 22:00:00.000,8.946286315195508e+76,0.055,167.833448721
2024-05-08 08:00:00.000,9.257059783138785e+76,0.002,6.033357846
2024-05-08 08:00:00.000,8.413258573331431e+76,0.002,6.033357846
2024-05-08 08:00:00.000,7.359835105716253e+76,0.002,6.033357846
2024-05-09 02:00:00.000,9.257059783138785e+76,0.002,5.976770232
2024-05-09 02:00:00.000,8.413258573331431e+76,0.002,5.976770232
2024-05-10 01:00:00.000,9.257059783138785e+76,0.002,6.061061913
2024-05-10 01:00:00.000,8.413258573331431e+76,0.002,6.061061913
2024-05-16 11:00:00.000,1.0912434375937702e+77,0.0002,0.60111
2024-05-21 13:00:00.000,9.257059783138785e+76,0.002,7.59008
2024-06-01 12:00:00.000,6.743535987979675e+76,0.001,3.78232
2024-06-07 03:00:00.000,6.447739806287811e+76,0.0004,1.523248
2024-06-08 13:00:00.000,1.8686083064792453e+76,0.0004,1.469472
2024-06-08 13:00:00.000,1.6791269989538086e+76,0.0004,1.469472
2024-06-08 13:00:00.000,6.447739806287811e+76,0.001,3.67368
2024-06-13 19:00:00.000,1.6791269989538086e+76,0.0004,1.3858
2024-06-13 19:00:00.000,1.8686083064792453e+76,0.0004,1.3858
2024-06-19 01:00:00.000,8.059257122942675e+76,0.000187,0
2024-06-28 16:00:00.000,7.002882411828034e+76,0.0002,0.682554
2024-06-28 17:00:00.000,1.7501628862261608e+76,0.0002,0.682076
2024-06-28 01:00:00.000,6.571176601311773e+76,0.0002,0.688696
2024-07-01 13:00:00.000,9.803206067601637e+76,0.0009,3.11067
2024-07-02 01:00:00.000,8.495527722319637e+76,0.00123,4.2302529
2024-07-05 05:00:00.000,6.620048739798377e+76,0.0015,4.361625
2024-07-06 14:00:00.000,8.393508073830225e+76,0.0016,4.796208
2024-07-06 14:00:00.000,1.0283705396531161e+77,0.0015,4.496445
2024-07-09 19:00:00.000,1.1230584826744178e+77,0.002,6.1064
2024-07-09 00:00:00.000,3.174521679764724e+76,0.0049,14.815934
2024-07-14 10:00:00.000,1.0283705396531161e+77,0.0016,5.13704
2024-07-14 12:00:00.000,6.818084190870832e+75,0.0016,5.118752
2024-07-19 00:00:00.000,7.359835105716253e+76,0.002,6.86104
2024-07-19 00:00:00.000,8.413258573331431e+76,0.002,6.86104
2024-07-19 05:00:00.000,6.620048739798377e+76,0.003,10.2825
2024-07-19 10:00:00.000,3.174521679764724e+76,0.0017,5.765618
2024-07-22 20:00:00.000,3.771781867893133e+76,0.0017,5.908945
2023-12-26 21:00:00.000,6.861860825044747e+76,0.022,48.585818959
2024-01-01 03:00:00.000,9.923408786836359e+76,0.15,344.736220275
2024-01-25 17:00:00.000,3.647060864689871e+76,0.01,21.871051064
2024-02-03 22:00:00.000,2.609237857486762e+76,0.0144,33.088886434
2024-02-05 17:00:00.000,1.020470673947809e+77,0.005,11.509468956
2024-02-05 04:00:00.000,9.3190926328085e+76,0.02,45.60114997
2024-02-06 05:00:00.000,7.267727575299544e+76,0.01,23.166535664
2024-02-10 19:00:00.000,1.5885969299882397e+76,0.039,96.974190014
2024-02-18 10:00:00.000,1.0641640313163098e+77,0.002,5.595469935
2024-02-20 12:00:00.000,3.929240479264818e+76,0.07,203.189585989
2024-02-22 04:00:00.000,9.026768019382798e+76,0.04,116.739602333
2024-02-24 04:00:00.000,2.0054393408904226e+76,0.07,203.681142349
2024-02-25 07:00:00.000,1.1085846455930083e+77,0.1,301.73169112
2024-02-25 02:00:00.000,4.9696227476668325e+76,0.04,119.08436133
2024-02-25 03:00:00.000,8.305774588633619e+76,0.045,134.586008398
2024-02-25 03:00:00.000,6.027496724704072e+76,0.07,209.356013064
2024-02-25 03:00:00.000,9.227138392951725e+75,0.09,269.172016797
2024-02-25 03:00:00.000,2.55496510243248e+76,0.035,104.678006532
2024-02-25 03:00:00.000,2.6530096389091443e+76,0.09,269.172016797
2024-03-03 06:00:00.000,1.0848678312615383e+77,0.002,6.86763594
2024-03-06 21:00:00.000,3.424933941431957e+76,0.00066,2.544957893
2024-03-08 09:00:00.000,1.3920354728228476e+76,0.00066,2.585872418
2024-03-16 19:00:00.000,4.8093946450832294e+76,0.01,36.16794012
2024-03-18 08:00:00.000,3.174521679764724e+76,0.0031,11.230750337
2024-03-18 08:00:00.000,9.03251421569286e+76,0.0027,9.781621261
2024-03-18 11:00:00.000,1.4232209807605738e+76,0.0006,2.142639955
2024-03-21 14:00:00.000,3.503821508664928e+76,0.003,10.640090303
﻿
